@relation DM1

@attribute location {Bahrain,Egypt,Iran,Iraq,Jordan,Kuwait,Lebanon,Morocco,Oman,Palestine,Qatar,'Saudi Arabia',Syria,'United Arab Emirates',Yemen}
@attribute date {2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/8/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021,6/14/2021,6/15/2021,6/16/2021,6/17/2021,6/18/2021,6/19/2021,6/20/2021,6/21/2021,6/22/2021,6/23/2021,6/24/2021,6/25/2021,6/26/2021,6/27/2021,6/28/2021,6/29/2021,6/30/2021,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021,8/1/2021,8/2/2021,8/3/2021,8/4/2021,8/5/2021,8/6/2021,8/7/2021,8/8/2021,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/18/2021,8/19/2021,8/20/2021,8/21/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/28/2021,8/29/2021,8/30/2021,8/31/2021,9/1/2021,9/2/2021,9/3/2021,9/4/2021,9/5/2021,9/6/2021,9/7/2021,9/8/2021,9/9/2021,9/10/2021,9/11/2021,9/12/2021,9/13/2021,9/14/2021,9/15/2021,9/16/2021,9/17/2021,9/18/2021,9/19/2021,9/20/2021,9/21/2021,9/22/2021,9/23/2021,9/24/2021,9/25/2021,9/26/2021,9/27/2021,9/28/2021,9/29/2021,9/30/2021,10/1/2021,10/2/2021,10/3/2021,10/4/2021,10/5/2021,10/6/2021,10/7/2021,10/8/2021,10/9/2021,10/10/2021,10/11/2021,10/12/2021,10/13/2021,10/14/2021,10/15/2021,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/2021,10/23/2021,10/24/2021,10/25/2021,10/26/2021,10/27/2021,10/28/2021,10/29/2021,10/30/2021,10/31/2021,11/1/2021,11/2/2021,11/3/2021,11/4/2021,11/5/2021,11/6/2021,11/7/2021,11/8/2021,11/9/2021,11/10/2021,11/11/2021,11/12/2021,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/1/2021,12/2/2021,12/3/2021,12/4/2021,12/5/2021,12/6/2021,12/7/2021,12/8/2021,12/9/2021,12/10/2021,12/11/2021,12/12/2021,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021,1/1/2022,1/2/2022,1/3/2022,1/4/2022,1/5/2022,1/6/2022,1/7/2022,1/8/2022,1/9/2022,1/10/2022,1/11/2022,1/12/2022,1/13/2022,1/14/2022,1/15/2022,1/16/2022,1/17/2022,1/18/2022,1/19/2022,1/20/2022,1/21/2022,1/22/2022,1/23/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/29/2022,1/30/2022,1/31/2022,2/1/2022,2/2/2022,2/3/2022,2/4/2022,2/5/2022,2/6/2022,2/7/2022,2/8/2022,2/9/2022,2/10/2022,2/11/2022,2/12/2022,2/13/2022,2/14/2022,2/15/2022,2/16/2022,2/17/2022,2/18/2022,2/19/2022,2/20/2022,2/21/2022,2/22/2022,2/23/2022,2/24/2022,2/25/2022,2/26/2022,2/27/2022,2/28/2022,3/1/2022,3/2/2022,3/3/2022,3/4/2022,3/5/2022,3/6/2022,3/7/2022,3/8/2022,3/9/2022,3/10/2022,3/11/2022,3/12/2022,3/13/2022,3/14/2022,3/15/2022,3/16/2022,3/17/2022,3/18/2022,3/19/2022,3/20/2022,3/21/2022,3/22/2022,3/23/2022,3/24/2022,3/25/2022,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020}
@attribute total_cases numeric
@attribute new_cases numeric
@attribute new_cases_smoothed numeric
@attribute total_deaths numeric
@attribute new_deaths numeric
@attribute new_deaths_smoothed numeric
@attribute total_cases_per_million numeric
@attribute new_cases_per_million numeric
@attribute new_cases_smoothed_per_million numeric
@attribute total_deaths_per_million numeric
@attribute new_deaths_per_million numeric
@attribute new_deaths_smoothed_per_million numeric
@attribute reproduction_rate numeric
@attribute icu_patients string
@attribute icu_patients_per_million string
@attribute hosp_patients string
@attribute hosp_patients_per_million string
@attribute weekly_icu_admissions string
@attribute weekly_icu_admissions_per_million string
@attribute weekly_hosp_admissions string
@attribute weekly_hosp_admissions_per_million string
@attribute total_tests numeric
@attribute new_tests numeric
@attribute total_tests_per_thousand numeric
@attribute new_tests_per_thousand numeric
@attribute new_tests_smoothed numeric
@attribute new_tests_smoothed_per_thousand numeric
@attribute positive_rate numeric
@attribute tests_per_case numeric
@attribute tests_units {'units unclear','tests performed','people tested'}

@data
Bahrain,2/24/2020,1,1,?,?,?,?,0.572,0.572,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,2/25/2020,23,22,?,?,?,?,13.156,12.584,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,2/26/2020,33,10,?,?,?,?,18.876,5.72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,2/27/2020,33,0,?,?,?,?,18.876,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,2/28/2020,36,3,?,?,?,?,20.591,1.716,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,2/29/2020,41,5,?,?,?,?,23.451,2.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,3/1/2020,47,6,6.714,?,?,?,26.883,3.432,3.84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,3/2/2020,49,2,6.857,?,?,?,28.027,1.144,3.922,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,3/3/2020,49,0,3.714,?,?,?,28.027,0,2.125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,3/4/2020,52,3,2.714,?,?,?,29.743,1.716,1.553,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bahrain,3/5/2020,55,3,3.143,?,?,?,31.459,1.716,1.798,?,?,?,?,?,?,?,?,?,?,?,?,5334,?,3.051,?,?,?,?,?,'units unclear'
Bahrain,3/6/2020,60,5,3.429,?,?,?,34.319,2.86,1.961,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'units unclear'
Bahrain,3/7/2020,85,25,6.286,?,?,?,48.619,14.3,3.595,?,?,?,?,?,?,?,?,?,?,?,?,6420,?,3.672,?,?,?,?,?,'units unclear'
Bahrain,3/8/2020,85,0,5.429,?,?,?,48.619,0,3.105,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'units unclear'
Bahrain,3/9/2020,95,10,6.571,?,?,?,54.339,5.72,3.759,?,?,?,?,?,?,?,?,?,?,?,?,7830,?,4.479,?,?,?,?,?,'units unclear'
Bahrain,3/10/2020,110,15,8.714,?,?,?,62.918,8.58,4.984,?,?,?,?,?,?,?,?,?,?,?,?,8354,524,4.778,0.3,?,?,?,?,'units unclear'
Bahrain,3/11/2020,195,85,20.429,?,?,?,111.537,48.619,11.685,?,?,?,1.42,?,?,?,?,?,?,?,?,8810,456,5.039,0.261,?,?,?,?,'units unclear'
Bahrain,3/12/2020,195,0,20,?,?,?,111.537,0,11.44,?,?,?,1.26,?,?,?,?,?,?,?,?,9042,232,5.172,0.133,530,0.303,0.0377,26.5,'units unclear'
Bahrain,3/13/2020,195,0,19.286,?,?,?,111.537,0,11.031,?,?,?,1.17,?,?,?,?,?,?,?,?,?,?,?,?,562,0.321,0.0343,29.1,'units unclear'
Bahrain,3/14/2020,210,15,17.857,?,?,?,120.117,8.58,10.214,?,?,?,1.11,?,?,?,?,?,?,?,?,?,?,?,?,595,0.34,0.03,33.3,'units unclear'
Bahrain,3/15/2020,214,4,18.429,?,?,?,122.405,2.288,10.541,?,?,?,1.06,?,?,?,?,?,?,?,?,?,?,?,?,605,0.346,0.0305,32.8,'units unclear'
Bahrain,3/16/2020,214,0,17,1,1,?,122.405,0,9.724,0.572,0.572,?,1.05,?,?,?,?,?,?,?,?,12131,?,6.939,?,614,0.351,0.0277,36.1,'units unclear'
Bahrain,3/17/2020,228,14,16.857,1,0,?,130.413,8.008,9.642,0.572,0,?,1.09,?,?,?,?,?,?,?,?,13553,1422,7.752,0.813,743,0.425,0.0227,44.1,'units unclear'
Bahrain,3/18/2020,256,28,8.714,1,0,?,146.428,16.016,4.984,0.572,0,?,1.14,?,?,?,?,?,?,?,?,?,?,?,?,942,0.539,0.0093,108.1,'units unclear'
Bahrain,3/19/2020,278,22,11.857,1,0,?,159.012,12.584,6.782,0.572,0,?,1.18,?,?,?,?,?,?,?,?,?,?,?,?,1173,0.671,0.0101,98.9,'units unclear'
Bahrain,3/20/2020,285,7,12.857,1,0,?,163.016,4.004,7.354,0.572,0,?,1.22,?,?,?,?,?,?,?,?,19098,?,10.924,?,1326,0.758,0.0097,103.1,'units unclear'
Bahrain,3/21/2020,305,20,13.571,1,0,?,174.456,11.44,7.763,0.572,0,?,1.26,?,?,?,?,?,?,?,?,?,?,?,?,1505,0.861,0.009,110.9,'units unclear'
Bahrain,3/22/2020,334,29,17.143,2,1,0.286,191.043,16.588,9.805,1.144,0.572,0.163,1.3,?,?,?,?,?,?,?,?,?,?,?,?,1684,0.963,0.0102,98.2,'units unclear'
Bahrain,3/23/2020,377,43,23.286,2,0,0.143,215.639,24.595,13.319,1.144,0,0.082,1.3,?,?,?,?,?,?,?,?,25169,?,14.396,?,1863,1.066,0.0125,80,'units unclear'
Bahrain,3/24/2020,392,15,23.429,3,1,0.286,224.218,8.58,13.401,1.716,0.572,0.163,1.25,?,?,?,?,?,?,?,?,?,?,?,?,1867,1.068,0.0125,79.7,'units unclear'
Bahrain,3/25/2020,419,27,23.286,4,1,0.429,239.662,15.444,13.319,2.288,0.572,0.245,1.23,?,?,?,?,?,?,?,?,?,?,?,?,1811,1.036,0.0129,77.8,'units unclear'
Bahrain,3/26/2020,458,39,25.714,4,0,0.429,261.97,22.307,14.708,2.288,0,0.245,1.23,?,?,?,?,?,?,?,?,29533,?,16.892,?,1755,1.004,0.0147,68.3,'units unclear'
Bahrain,3/27/2020,466,8,25.857,4,0,0.429,266.545,4.576,14.79,2.288,0,0.245,1.21,?,?,?,?,?,?,?,?,?,?,?,?,1603,0.917,0.0161,62,'units unclear'
Bahrain,3/28/2020,476,10,24.429,4,0,0.429,272.265,5.72,13.973,2.288,0,0.245,1.22,?,?,?,?,?,?,?,?,?,?,?,?,1427,0.816,0.0171,58.4,'units unclear'
Bahrain,3/29/2020,499,23,23.571,4,0,0.286,285.421,13.156,13.483,2.288,0,0.163,1.25,?,?,?,?,?,?,?,?,31895,?,18.243,?,1250,0.715,0.0189,53,'units unclear'
Bahrain,3/30/2020,515,16,19.714,4,0,0.286,294.573,9.152,11.276,2.288,0,0.163,1.28,?,?,?,?,?,?,?,?,32596,701,18.644,0.401,1061,0.607,0.0186,53.8,'units unclear'
Bahrain,3/31/2020,567,52,25,4,0,0.143,324.316,29.743,14.3,2.288,0,0.082,1.34,?,?,?,?,?,?,?,?,?,?,?,?,1046,0.598,0.0239,41.8,'units unclear'
Bahrain,4/1/2020,569,2,21.429,4,0,0,325.46,1.144,12.257,2.288,0,0,1.35,?,?,?,?,?,?,?,?,?,?,?,?,1031,0.59,0.0208,48.1,'units unclear'
Bahrain,4/2/2020,643,74,26.429,4,0,0,367.787,42.327,15.117,2.288,0,0,1.42,?,?,?,?,?,?,?,?,?,?,?,?,1016,0.581,0.026,38.4,'units unclear'
Bahrain,4/3/2020,672,29,29.429,4,0,0,384.374,16.588,16.833,2.288,0,0,1.41,?,?,?,?,?,?,?,?,37996,?,21.733,?,1097,0.627,0.0268,37.3,'units unclear'
Bahrain,4/4/2020,688,16,30.286,4,0,0,393.526,9.152,17.323,2.288,0,0,1.4,?,?,?,?,?,?,?,?,39256,1260,22.454,0.721,1164,0.666,0.026,38.4,'units unclear'
Bahrain,4/5/2020,700,12,28.714,4,0,0,400.39,6.864,16.424,2.288,0,0,1.43,?,?,?,?,?,?,?,?,44386,5130,25.388,2.934,1784,1.02,0.0161,62.1,'units unclear'
Bahrain,4/6/2020,756,56,34.429,4,0,0,432.421,32.031,19.693,2.288,0,0,1.49,?,?,?,?,?,?,?,?,47684,3298,27.275,1.886,2155,1.233,0.016,62.6,'units unclear'
Bahrain,4/7/2020,811,55,34.857,5,1,0.143,463.881,31.459,19.938,2.86,0.572,0.082,1.52,?,?,?,?,?,?,?,?,50127,2443,28.672,1.397,2312,1.322,0.0151,66.3,'units unclear'
Bahrain,4/8/2020,823,12,36.286,5,0,0.143,470.744,6.864,20.755,2.86,0,0.082,1.55,?,?,?,?,?,?,?,?,52804,2677,30.203,1.531,2501,1.431,0.0145,68.9,'units unclear'
Bahrain,4/9/2020,887,64,34.857,5,0,0.143,507.351,36.607,19.938,2.86,0,0.082,1.63,?,?,?,?,?,?,?,?,55096,2292,31.514,1.311,2636,1.508,0.0132,75.6,'units unclear'
Bahrain,4/10/2020,925,38,36.143,6,1,0.286,529.087,21.735,20.673,3.432,0.572,0.163,1.71,?,?,?,?,?,?,?,?,57681,2585,32.993,1.479,2812,1.608,0.0129,77.8,'units unclear'
Bahrain,4/11/2020,1040,115,50.286,6,0,0.286,594.865,65.778,28.763,3.432,0,0.163,1.81,?,?,?,?,?,?,?,?,60706,3025,34.723,1.73,3064,1.753,0.0164,60.9,'units unclear'
Bahrain,4/12/2020,1136,96,62.286,6,0,0.286,649.776,54.911,35.627,3.432,0,0.163,1.82,?,?,?,?,?,?,?,?,63973,3267,36.592,1.869,2798,1.6,0.0223,44.9,'units unclear'
Bahrain,4/13/2020,1361,225,86.429,6,0,0.286,778.473,128.697,49.436,3.432,0,0.163,1.8,?,?,?,?,?,?,?,?,67327,3354,38.51,1.918,2806,1.605,0.0308,32.5,'units unclear'
Bahrain,4/14/2020,1528,167,102.429,7,1,0.286,873.994,95.522,58.588,4.004,0.572,0.163,1.68,?,?,?,?,?,?,?,?,70813,3486,40.504,1.994,2955,1.69,0.0347,28.8,'units unclear'
Bahrain,4/15/2020,1671,143,121.143,7,0,0.286,955.788,81.794,69.292,4.004,0,0.163,1.53,?,?,?,?,?,?,?,?,73272,2459,41.911,1.407,2924,1.672,0.0414,24.1,'units unclear'
Bahrain,4/16/2020,1700,29,116.143,7,0,0.286,972.376,16.588,66.432,4.004,0,0.163,1.37,?,?,?,?,?,?,?,?,76944,3672,44.011,2.1,3121,1.785,0.0372,26.9,'units unclear'
Bahrain,4/17/2020,1740,40,116.429,7,0,0.143,995.255,22.879,66.595,4.004,0,0.082,1.3,?,?,?,?,?,?,?,?,79612,2668,45.537,1.526,3133,1.792,0.0372,26.9,'units unclear'
Bahrain,4/18/2020,1773,33,104.714,7,0,0.143,1014.131,18.876,59.895,4.004,0,0.082,1.26,?,?,?,?,?,?,?,?,82568,2956,47.228,1.691,3123,1.786,0.0335,29.8,'units unclear'
Bahrain,4/19/2020,1881,108,106.429,7,0,0.143,1075.905,61.774,60.876,4.004,0,0.082,1.26,?,?,?,?,?,?,?,?,86732,4164,49.609,2.382,3251,1.86,0.0327,30.5,'units unclear'
Bahrain,4/20/2020,1907,26,78,7,0,0.143,1090.777,14.872,44.615,4.004,0,0.082,1.23,?,?,?,?,?,?,?,?,90307,3575,51.654,2.045,3283,1.878,0.0238,42.1,'units unclear'
Bahrain,4/21/2020,1973,66,63.571,7,0,0,1128.528,37.751,36.362,4.004,0,0,1.26,?,?,?,?,?,?,?,?,94380,4073,53.984,2.33,3367,1.926,0.0189,53,'units unclear'
Bahrain,4/22/2020,2027,54,50.857,7,0,0,1159.415,30.887,29.09,4.004,0,0,1.31,?,?,?,?,?,?,?,?,97796,3416,55.938,1.954,3503,2.004,0.0145,68.9,'units unclear'
Bahrain,4/23/2020,2217,190,73.857,8,1,0.143,1268.093,108.677,42.245,4.576,0.572,0.082,1.39,?,?,?,?,?,?,?,?,100031,2235,57.216,1.278,3298,1.886,0.0224,44.7,'units unclear'
Bahrain,4/24/2020,2518,301,111.143,8,0,0.143,1440.26,172.168,63.572,4.576,0,0.082,1.41,?,?,?,?,?,?,?,?,105365,5334,60.267,3.051,3679,2.104,0.0302,33.1,'units unclear'
Bahrain,4/25/2020,2588,70,116.429,8,0,0.143,1480.299,40.039,66.595,4.576,0,0.082,1.32,?,?,?,?,?,?,?,?,110407,5042,63.151,2.884,3977,2.275,0.0293,34.2,'units unclear'
Bahrain,4/26/2020,2647,59,109.429,8,0,0.143,1514.047,33.747,62.592,4.576,0,0.082,1.25,?,?,?,?,?,?,?,?,114110,3703,65.269,2.118,3911,2.237,0.028,35.7,'units unclear'
Bahrain,4/27/2020,2723,76,116.571,8,0,0.143,1557.517,43.471,66.677,4.576,0,0.082,1.21,?,?,?,?,?,?,?,?,117797,3687,67.378,2.109,3927,2.246,0.0297,33.7,'units unclear'
Bahrain,4/28/2020,2811,88,119.714,8,0,0.143,1607.852,50.335,68.475,4.576,0,0.082,1.2,?,?,?,?,?,?,?,?,121706,3909,69.614,2.236,3904,2.233,0.0307,32.6,'units unclear'
Bahrain,4/29/2020,2921,110,127.714,8,0,0.143,1670.771,62.918,73.051,4.576,0,0.082,1.22,?,?,?,?,?,?,?,?,126905,5199,72.588,2.974,4158,2.378,0.0307,32.6,'units unclear'
Bahrain,4/30/2020,3040,119,117.571,8,0,0,1738.837,68.066,67.249,4.576,0,0,1.23,?,?,?,?,?,?,?,?,129694,2789,74.183,1.595,4238,2.424,0.0277,36,'units unclear'
Bahrain,5/1/2020,3170,130,93.143,8,0,0,1813.195,74.358,53.276,4.576,0,0,1.26,?,?,?,?,?,?,?,?,134082,4388,76.693,2.51,4102,2.346,0.0227,44,'units unclear'
Bahrain,5/2/2020,3284,114,99.429,8,0,0,1878.402,65.206,56.872,4.576,0,0,1.29,?,?,?,?,?,?,?,?,138278,4196,79.093,2.4,3982,2.278,0.025,40,'units unclear'
Bahrain,5/3/2020,3383,99,105.143,8,0,0,1935.028,56.627,60.14,4.576,0,0,1.32,?,?,?,?,?,?,?,?,144155,5877,82.455,3.362,4292,2.455,0.0245,40.8,'units unclear'
Bahrain,5/4/2020,3533,150,115.714,8,0,0,2020.826,85.798,66.187,4.576,0,0,1.37,?,?,?,?,?,?,?,?,149586,5431,85.561,3.106,4541,2.597,0.0255,39.2,'units unclear'
Bahrain,5/5/2020,3720,187,129.857,8,0,0,2127.787,106.961,74.276,4.576,0,0,1.41,?,?,?,?,?,?,?,?,155501,5915,88.944,3.383,4828,2.762,0.0269,37.2,'units unclear'
Bahrain,5/6/2020,3934,214,144.714,8,0,0,2250.192,122.405,82.775,4.576,0,0,1.44,?,?,?,?,?,?,?,?,160341,4840,91.713,2.768,4777,2.732,0.0303,33,'units unclear'
Bahrain,5/7/2020,4199,265,165.571,8,0,0,2401.769,151.576,94.705,4.576,0,0,1.45,?,?,?,?,?,?,?,?,166378,6037,95.166,3.453,5241,2.998,0.0316,31.7,'units unclear'
Bahrain,5/8/2020,4444,245,182,8,0,0,2541.905,140.137,104.101,4.576,0,0,1.46,?,?,?,?,?,?,?,?,172158,5780,98.472,3.306,5439,3.111,0.0335,29.9,'units unclear'
Bahrain,5/9/2020,4774,330,212.857,8,0,0,2730.66,188.755,121.751,4.576,0,0,1.45,?,?,?,?,?,?,?,?,178353,6195,102.015,3.543,5725,3.275,0.0372,26.9,'units unclear'
Bahrain,5/10/2020,4941,167,222.571,8,0,0,2826.182,95.522,127.308,4.576,0,0,1.42,?,?,?,?,?,?,?,?,184029,5676,105.262,3.247,5696,3.258,0.0391,25.6,'units unclear'
Bahrain,5/11/2020,5236,295,243.286,8,0,0,2994.918,168.736,139.156,4.576,0,0,1.4,?,?,?,?,?,?,?,?,190780,6751,109.123,3.861,5885,3.366,0.0413,24.2,'units unclear'
